name,word_ranking,asia_ranking,pakistani_ranking,city,type,acceptance,publication,web,language,phone,address
Khyber Medical University,"5428 / 14,131","1981 / 5,830",51 / 175,Peshawar,Non-profit,,784,kmu.edu.pk,English,+92 (91) 921 7703,"Phase 5, Hayatabad
 Peshawar, Khyber Pakhtunkhwa, 25100 
Pakistan"
King Edward Medical University,"4793 / 14,131","1691 / 5,830",32 / 175,Lahore,Non-profit,,"1,209",kemu.edu.pk,English,+92 (42) 99211145-54,"Nelagumbad, Anarkali
 Lahore, Punjab, 54000 
Pakistan"
Kinnaird College for Women ,"6088 / 14,131","2262 / 5,830",60 / 175,Lahore,Non-profit,,303,www.kinnaird.edu.pk,English,+92 (42) 756 9532,"93, Jail Road
 Lahore, Punjab, 54800 
Pakistan"
Kohat University of Science and Technology,"6241 / 14,131","2328 / 5,830",64 / 175,Kohat,Non-profit,,"1,446",kust.edu.pk,English,+92 (922) 554 505,"Indus Highway
 Kohat, Khyber Pakhtunkhwa, 26000 
Pakistan"
Lahore College for Women University,"4800 / 14,131","1694 / 5,830",33 / 175,Lahore,Non-profit,,"1,289",lcwu.edu.pk,English;Urdu,+92 (42) 920 1950,"Jail Road
 Lahore, Punjab, 54600 
Pakistan"
Lahore School of Economics ,"6275 / 14,131","2345 / 5,830",66 / 175,Lahore,Private,55%,372,lahoreschoolofeconomics.edu.pk,English,+92 (42) 111 656 111,"Intersection Main Boulevard, Phase VI, DHA
 Lahore, Punjab, 53200 
Pakistan"
Lahore University of Management Sciences,"2061 / 14,131","606 / 5,830",4 / 175,Lahore,Non-profit,,"2,698",lums.edu.pk,English,+92 (42) 572 2670 9,"Sector U, D.H.A
 Lahore, Punjab, 54792 
Pakistan"
Liaquat University of Medical and Health Sciences,"4949 / 14,131","1765 / 5,830",38 / 175,Jamshoro,Non-profit,,675,lumhs.edu.pk,English,+92 (21) 771 239,"Jamshoro, Sindh 
Pakistan"
Mehran University of Engineering and Technology,"3870 / 14,131","1293 / 5,830",20 / 175,Jamshoro,Non-profit,15%,"1,568",muet.edu.pk,English,+92 (22) 277 1371,"Jamshoro, Sindh, 76062 
Pakistan"
Mirpur University of Science and Technology ,"6894 / 14,131","2635 / 5,830",85 / 175,Materials Science,Non-profit,"3,500",730,must.edu.pk,English,+92 5827-961037,"Allama Iqbal Road
 Mirpur, Azad Kashmir, 10250 
Pakistan"
Mohammad Ali Jinnah University,"6309 / 14,131","2359 / 5,830",67 / 175,Karachi,Private,55%,829,www.jinnah.edu,English,+92 (51) 251 2800-1,"Islamabad Expressway, Kahuta Road, Zone-V
 Karachi, Sindh, 75400 
Pakistan"
National College of Business Administration and Economics ,"6988 / 14,131","2680 / 5,830",87 / 175,Lahore,Private,55%,529,www.ncbae.edu.pk,English,+92 (42) 357 52716,"40-E/I, Gulberg-III
 Lahore, Punjab, 54660 
Pakistan"
National Defence University,"4569 / 14,131","1597 / 5,830",28 / 175,Islamabad,Non-profit,65%,942,ndu.edu.pk,English,+92 (51) 926 0651,"Shaheen Chowk, E-9
 Islamabad, Islamabad CT, 44000 
Pakistan"
National Textile University ,"6428 / 14,131","2414 / 5,830",73 / 175,Faisalabad,Non-profit,"1,500",819,ntu.edu.pk,English,+92 (41) 753 743 4,"Sheikhupura Road, Manawala
 Faisalabad, Punjab, 37610 
Pakistan"
National University of Computer and Emerging Sciences,"3011 / 14,131","953 / 5,830",11 / 175,Islamabad,Non-profit,5%,"2,087",nu.edu.pk,English,+92 (51) 285 5070,"Sector H-12
 Islamabad, Islamabad CT, 54000 
Pakistan"
National University of Modern Languages,"5731 / 14,131","2108 / 5,830",56 / 175,Islamabad,Non-profit,55%,724,numl.edu.pk,English,+92 (51) 925 7646,"Sector H-9
 Islamabad, Islamabad CT, 44000 
Pakistan"
National University of Sciences and Technology,"3463 / 14,131","1125 / 5,830",14 / 175,Islamabad,Non-profit,4%,"2,971",nust.edu.pk,English,+92 (51) 9085 1101,"Sector H-12
 Islamabad, Islamabad CT, 44000 
Pakistan"
NED University of Engineering and Technology,"3755 / 14,131","1248 / 5,830",18 / 175,Karachi,Non-profit,45%,"1,251",www.neduet.edu.pk,English,+92 (21) 926 1261,"Main University Road
 Karachi, Sindh, 75270 
Pakistan"
Pakistan Institute of Development Economics,"5537 / 14,131","2025 / 5,830",54 / 175,Islamabad,Non-profit,55%,574,pide.org.pk,English,+92 (51) 9201140,"PO Box 1091, Quaid-i-Azam University Campus
 Islamabad, Islamabad CT, 44000 
Pakistan"
Pakistan Institute of Engineering and Applied Sciences,"4824 / 14,131","1704 / 5,830",34 / 175,Islamabad,Non-profit,,"2,159",www.pieas.edu.pk,English,+92 (51) 220 7380,"PO Nilore
 Islamabad, Islamabad CT 
Pakistan"
Pir Mehr Ali Shah Arid Agriculture University,"4940 / 14,131","1760 / 5,830",37 / 175,Rawalpindi,Non-profit,,"2,228",www.uaar.edu.pk,English,+92 (51) 929 0151,"Rawalpindi Murree Road
 Rawalpindi, Punjab, 46300 
Pakistan"
Preston University ,"7062 / 14,131","2714 / 5,830",89 / 175,Kohat,Private,45%,228,preston.edu.pk,English,+92 (922) 860211-13,"OTS Road, Near EidGah
 Kohat, Khyber Pakhtunkhwa 
Pakistan"
"Quaid-e-Awam University of Engineering, Science and Technology ","6866 / 14,131","2620 / 5,830",84 / 175,Nawabshah,"Public-private
partnership",45%,426,quest.edu.pk,English,+92 (244) 937 0373,"Sakrand Road
 Nawabshah, Sindh, 67480 
Pakistan"
Quaid-i-Azam University,"2014 / 14,131","592 / 5,830",3 / 175,Islamabad,Non-profit,,"13,401",qau.edu.pk,English,+92 (51) 921 9877,"PO Box 1090
 Islamabad, Islamabad CT, 45320 
Pakistan"
Rawalpindi Medical University ,"6383 / 14,131","2389 / 5,830",71 / 175,Rawalpindi,Non-profit,4,617,rmc.edu.pk,English,+92 (51) 928 1011,"Tipu Road
 Rawalpindi, Punjab, 46000 
Pakistan"
Riphah International University,"4844 / 14,131","1714 / 5,830",35 / 175,Islamabad,Non-profit,45%,"2,318",www.riphah.edu.pk,English,+92 (51) 111 510 510,"Hajj Complex Road, Sector I-14
 Islamabad, Islamabad CT, 46000 
Pakistan"
Sarhad University of Science and Information Technology ,"6558 / 14,131","2482 / 5,830",79 / 175,Peshawar,Non-profit,55%,448,www.suit.edu.pk,English,+92 (91) 584 6508,"Landi Akhun Ahmad, Hayatabad Link. Ring Road
 Peshawar, Khyber Pakhtunkhwa, 25000 
Pakistan"
Shah Abdul Latif University ,"6481 / 14,131","2442 / 5,830",74 / 175,Khairpur,Non-profit,,468,salu.edu.pk,English;Urdu;Sindhi,+92 (243) 928 0051,"Old National Highway
 Khairpur, Sindh, 66020 
Pakistan"
Shaheed Benazir Bhutto Women University ,"7430 / 14,131","2888 / 5,830",99 / 175,Peshawar,Non-profit,55%,240,,English,+92 (91) 259 3230,"Asamia Road Opposite Qila Balahisar
 Peshawar, Khyber Pakhtunkhwa 
Pakistan"
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,"5108 / 14,131","1834 / 5,830",42 / 175,Karachi,Non-profit,15%,862,szabist.edu.pk,English,+92 (21) 111 922 478,"90 & 100 Clifton
 Karachi, Sindh, 75600 
Pakistan"
Sindh Agriculture University,"6102 / 14,131","2271 / 5,830",62 / 175,Tando Jam,Non-profit,,765,sau.edu.pk,English,+92 (221) 765 869,"Tandojam, Sindh, 70060 
Pakistan"
Sindh Madresatul Islam University ,"7126 / 14,131","2745 / 5,830",91 / 175,Karachi,Non-profit,45%,144,smiu.edu.pk,English;Urdu,+92 (21) 9921 7501-3,"Aiwan-e-Tijarat Road
 Karachi, Sindh, 74000 
Pakistan"
Sir Syed University of Engineering and Technology ,"6897 / 14,131","2637 / 5,830",86 / 175,Karachi,Private,5%,359,www.ssuet.edu.pk,English,+92 (21) 4988000 2,"Gulshan-e-Iqbal University Road
 Karachi, Sindh, 75300 
Pakistan"
Sukkur Institute of Business Administration,"6090 / 14,131","2263 / 5,830",61 / 175,Sukkur,Non-profit,,780,iba-suk.edu.pk,English,+92 (71) 563 0272,"Air Port Road
 Sukkur, Sindh 
Pakistan"
"University of Agriculture, Faisalabad","2122 / 14,131","624 / 5,830",5 / 175,Faisalabad,Non-profit,35%,"20,228",uaf.edu.pk,English,+92 (41) 920 0161,"Jail Road
 Faisalabad, Punjab, 38040 
Pakistan"
"University of Agriculture, Peshawar","6272 / 14,131","2343 / 5,830",65 / 175,Peshawar,Non-profit,65%,"1,198",aup.edu.pk,English;Urdu,+92 (91) 921 18612,"University POB 25130
 Peshawar, Khyber Pakhtunkhwa, 25000 
Pakistan"
University of Azad Jammu and Kashmir,"6367 / 14,131","2381 / 5,830",69 / 175,Kashmir,Non-profit,,"1,082",ajku.edu.pk,English,+92 (5881) 43328,"Administration Block, Challa Campus
 Muzaffarabad, Azad Kashmir 
Pakistan"
University of Balochistan,"5251 / 14,131","1903 / 5,830",46 / 175,Quetta,Non-profit,,892,www.uob.edu.pk,English;Urdu,+92 (81) 921 1268,"Sariab Road
 Quetta, Balochistan 
Pakistan"
University of Central Punjab,"4266 / 14,131","1462 / 5,830",26 / 175,Lahore,,"7,500","1,096",www.ucp.edu.pk,English,+92 (42) 5880007,"1 Khayaban-e-Jinnah Road, Johar Town
 Lahore, Punjab 
Pakistan"
University of Education - Pakistan,"5389 / 14,131","1968 / 5,830",50 / 175,Lahore,Non-profit,95%,972,ue.edu.pk,English,+92 (42) 9926 2223-4,"Township Campus, College Road
 Lahore, Punjab, 54770 
Pakistan"
"University of Engineering and Technology, Lahore","2401 / 14,131","719 / 5,830",7 / 175,Lahore,Non-profit,,"6,810",uet.edu.pk,English,+92 (42) 682 2012,"Lahore Grand Trunk Road
 Lahore, Punjab, 54890 
Pakistan"
"University of Engineering and Technology, Peshawar","5060 / 14,131","1813 / 5,830",40 / 175,Peshawar,Non-profit,25%,"1,500",uetpeshawar.edu.pk,English,+92 (91) 921 6796,"PO Box 814
 Peshawar, Khyber Pakhtunkhwa, 25000 
Pakistan"
"University of Engineering and Technology, Taxila","4774 / 14,131","1685 / 5,830",31 / 175,Taxila,Non-profit,15%,"1,662",uettaxila.edu.pk,English,+92 (51) 904 7420,"Taxila, Punjab, 47050 
Pakistan"
University of Gujrat,"5101 / 14,131","1830 / 5,830",41 / 175,Gujrat,Non-profit,75%,"1,990",uog.edu.pk,English,+92 (53) 364 3112,"Hafiz Hayat Campus, Jalapur Jattan Road
 Gujrat, Punjab, 50700 
Pakistan"
University of Haripur,"6656 / 14,131","2526 / 5,830",80 / 175,Haripur,Non-profit,"1,500",827,uoh.edu.pk,English,+92 (995) 615 393,"Hattar Road Near Swat Chowk Tehsil & District
 Haripur, Khyber Pakhtunkhwa, 22620 
Pakistan"
"University of Health Sciences, Lahore ","5132 / 14,131","1847 / 5,830",45 / 175,Lahore,Non-profit,,811,uhs.edu.pk,English,+92 (42) 923 1304,"Khayaban-e-Jamia Punjab
 Lahore, Punjab, 54600 
Pakistan"
University of Karachi,"2327 / 14,131","690 / 5,830",6 / 175,Karachi,Non-profit,4%,"8,269",uok.edu.pk,English;Urdu,+92 (21) 9243 1317,"Main University Road
 Karachi, Sindh, 75270 
Pakistan"
University of Lahore,"3644 / 14,131","1201 / 5,830",17 / 175,Lahore,Non-profit,95%,"3,925",www.uol.edu.pk,English,+92 (42) 111 862 865,"1 Km Defense Road, near Bhobtian Chowk, Raiwind Road
 Lahore, Punjab, 54600 
Pakistan"
University of Malakand,"6522 / 14,131","2462 / 5,830",77 / 175,Totakan,Non-profit,"4,500","1,884",www.uom.edu.pk,English,+92 (936) 763 491,"Chakdara, Khyber Pakhtunkhwa 
Pakistan"
University of Management and Technology - Lahore,"4695 / 14,131","1654 / 5,830",30 / 175,Lahore,Non-profit,"9,057","1,597",,English,+92 (42) 586 9312,"Block C-2, Johar Town
 Lahore, Punjab, 54600 
Pakistan"
University of Peshawar,"3040 / 14,131","967 / 5,830",12 / 175,Peshawar,Non-profit,55%,"4,290",uop.edu.pk,English,+92 (91) 921 6469,"Jamrud Road
 Peshawar, Khyber Pakhtunkhwa, 25120 
Pakistan"
University of Sargodha,"4644 / 14,131","1630 / 5,830",29 / 175,Sargodha,Non-profit,,"3,678",su.edu.pk,English,+92 (451) 923 0170,"University Road
 Sargodha, Punjab, 40100 
Pakistan"
"University of Science and Technology, Bannu","6553 / 14,131","2478 / 5,830",78 / 175,Bannu,Non-profit,45%,"1,784",ustb.edu.pk,English,+92 (928) 621 123,"Miranshah Road
 Bannu, Khyber Pakhtunkhwa, 28000 
Pakistan"
University of Sindh,"3363 / 14,131","1089 / 5,830",13 / 175,Jamshoro,Non-profit,25%,"2,220",usindh.edu.pk,English,+92 (22) 92130 1810-90,"Allama I.I. Kazi Campus
 Jamshoro, Sindh, 76080 
Pakistan"
University of Swat ,"7284 / 14,131","2828 / 5,830",94 / 175,Swat,"Public-private
partnership",,578,uswat.edu.pk,English,+92 (946) 923 012,"Saidu Sharif Road
 Mingora, Khyber Pakhtunkhwa, 19130 
Pakistan"
University of the Punjab,"1240 / 14,131","319 / 5,830",1 / 175,Lahore,Non-profit,15%,"9,740",pu.edu.pk,English,+92 (42) 9923 1102,"Quaid-e-Azam Campus, PO Box No. 54590
 Lahore, Punjab, 54590 
Pakistan"
University of Veterinary and Animal Sciences,"5351 / 14,131","1954 / 5,830",48 / 175,Lahore,Non-profit,,"2,443",uvas.edu.pk,English,+92 (42) 921 1476,"Outfall Road
 Lahore, Punjab, 54600 
Pakistan"
University of Wah ,"7352 / 14,131","2857 / 5,830",97 / 175,Materials Science,Private,56%,394,uow.edu.pk,English,+92 (51) 905525256-57,"Quaid Avenue
 Wah Cantt, Punjab 
Pakistan"
Ziauddin University,"6152 / 14,131","2291 / 5,830",63 / 175,Karachi,Non-profit,,"1,116",zu.edu.pk,English,+92 (21) 3586 2939,"4/B, Shahra-e-Ghalib, Block-6, Clifton
 Karachi, Sindh, 75600 
Pakistan"
